id,name,type1,type2,hp,attack,defense,spatk,spdef,speed,ability1,ability2,hiden_ability
1,Grookey,Grass,,50,65,50,40,40,65,Overgrow,Grassy Surge,
2,Thwackey,Grass,,70,85,70,55,60,80,Overgrow,Grassy Surge,
3,Rillaboom,Grass,,100,125,90,60,70,85,Overgrow,Grassy Surge,
4,Scorbunny,Fire,,50,71,40,40,40,69,Blaze,Libero,
5,Raboot,Fire,,65,86,60,55,60,94,Blaze,Libero,
6,Cinderace,Fire,,80,116,75,65,75,119,Blaze,Libero,
7,Sobble,Water,,50,40,40,70,40,70,Torrent,Sniper,
8,Drizzile,Water,,65,60,55,95,55,90,Torrent,Sniper,
9,Inteleon,Water,,70,85,65,125,65,120,Torrent,Sniper,
10,Blipbug,Bug,,25,20,20,25,45,45,Swarm,Compoundeyes,Telepathy
11,Dottler,Bug,Psychic,50,35,80,50,90,30,Swarm,Compoundeyes,Telepathy
12,Orbeetle,Bug,Psychic,60,45,110,80,120,90,Swarm,Frisk,Telepathy
13,Caterpie,Bug,,45,30,35,20,20,45,Shield Dust,Run Away,
14,Metapod,Bug,,50,20,55,25,25,30,Shed Skin,,
15,Butterfree,Bug,Flying,60,45,50,90,80,70,Compoundeyes,Tinted Lens,
16,Grubbin,Bug,,47,62,45,55,45,46,Swarm,,
17,Charjabug,Bug,Electric,57,82,95,55,75,36,Battery,,
18,Vikavolt,Bug,Electric,77,70,90,145,75,43,Levitate,,
19,Hoothoot,Normal,Flying,60,30,30,36,56,50,Insomnia,Keen Eye,Tinted Lens
20,Noctowl,Normal,Flying,100,50,50,86,96,70,Insomnia,Keen Eye,Tinted Lens
21,Rookidee,Flying,,38,47,35,33,35,57,Keen Eye,Unnerve,Big Pecks
22,Corvisquire,Flying,,68,67,55,43,55,77,Keen Eye,Unnerve,Big Pecks
23,Corviknight,Flying,Steel,98,87,105,53,85,67,Pressure,Unnerve,Mirror Armor
24,Skwovet,Normal,,70,55,55,35,35,25,Cheek Pouch,Gluttony,
25,Greedent,Normal,,120,95,95,55,75,20,Cheek Pouch,Gluttony,
26,Pidove,Normal,Flying,50,55,50,36,30,43,Big Pecks,Super Luck,Rivalry
27,Tranquill,Normal,Flying,62,77,62,50,42,65,Big Pecks,Super Luck,Rivalry
28,Unfezant,Normal,Flying,80,115,80,65,55,93,Big Pecks,Super Luck,Rivalry
29,Nickit,Dark,,40,28,28,47,52,50,Run Away,Unburden,Stakeout
30,Thievul,Dark,,70,58,58,87,92,90,Run Away,Unburden,Stakeout
31,Zigzagoon,Normal,,38,30,41,30,41,60,Pickup,Gluttony,Quick Feet
32,Linoone,Normal,,78,70,61,50,61,100,Pickup,Gluttony,Quick Feet
33,Obstagoon,Dark,Normal,93,90,101,60,81,95,Reckless,Guts,Defiant
34,Wooloo,Normal,,42,40,55,40,45,48,Fluffy,Run Away,Bulletproof
35,Dubwool,Normal,,72,80,100,60,90,88,Fluffy,Steadfast,Bulletproof
36,Lotad,Water,Grass,40,30,30,40,50,30,Swift Swim,Rain Dish,Own Tempo
37,Lombre,Water,Grass,60,50,50,60,70,50,Swift Swim,Rain Dish,Own Tempo
38,Ludicolo,Water,Grass,80,70,70,90,100,70,Swift Swim,Rain Dish,Own Tempo
39,Seedot,Grass,,40,40,50,30,30,30,Chlorophyll,Early Bird,Pickpocket
40,Nuzleaf,Grass,Dark,70,70,40,60,40,60,Chlorophyll,Early Bird,Pickpocket
41,Shiftry,Grass,Dark,90,100,60,90,60,80,Chlorophyll,Early Bird,Pickpocket
42,Chewtle,Water,,50,64,50,38,38,44,Strong Jaw,Shell Armor,Swift Swim
43,Drednaw,Water,Rock,90,115,90,48,68,74,Strong Jaw,Shell Armor,Swift Swim
44,Purrloin,Dark,,41,50,37,50,37,66,Limber,Unburden,Prankster
45,Liepard,Dark,,64,88,50,88,50,106,Limber,Unburden,Prankster
46,Yamper,Electric,,59,45,50,40,50,26,Ball Fetch,Rattled,
47,Boltund,Electric,,69,90,60,90,60,121,Strong Jaw,Competitive,
48,Bunnelby,Normal,,38,36,38,32,36,57,Pickup,Cheek Pouch,Huge Power
49,Diggersby,Normal,Ground,85,56,77,50,77,78,Pickup,Cheek Pouch,Huge Power
50,Minccino,Normal,,55,50,40,40,40,75,Cute Charm,Technician,Skill Link
51,Cinccino,Normal,,75,95,60,65,60,115,Cute Charm,Technician,Skill Link
52,Bounsweet,Grass,,42,30,38,30,38,32,Leaf Guard,Oblivious,Sweet Veil
53,Steenee,Grass,,52,40,48,40,48,62,Leaf Guard,Oblivious,Sweet Veil
54,Tsareena,Grass,,72,120,98,50,98,72,Leaf Guard,Queenly Majesty,Sweet Veil
55,Oddish,Grass,Poison,45,50,55,75,65,30,Chlorophyll,Run Away,
56,Gloom,Grass,Poison,60,65,70,85,75,40,Chlorophyll,Stench,
57,Vileplume,Grass,Poison,75,80,85,110,90,50,Chlorophyll,Effect Spore,
58,Bellossom,Grass,,75,80,95,90,100,50,Chlorophyll,Healer,
59,Budew,Grass,Poison,40,30,35,50,70,55,Natural Cure,Poison Point,Leaf Guard
60,Roselia,Grass,Poison,50,60,45,100,80,65,Natural Cure,Poison Point,Leaf Guard
61,Roserade,Grass,Poison,60,70,65,125,105,90,Natural Cure,Poison Point,Technician
62,Wingull,Water,Flying,40,30,30,55,30,85,Keen Eye,Hydration,Rain Dish
63,Pelipper,Water,Flying,60,50,100,95,70,65,Keen Eye,Drizzle,Rain Dish
64,Joltik,Bug,Electric,50,47,50,57,50,65,Compoundeyes,Unnerve,Swarm
