Name,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary,Grass,Fire,Water,Bug,Normal,Poison,Electric,Ground,Fairy,Fighting,Psychic,Rock,Ghost,Ice,Dragon,Dark,Steel,Flying,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6
Bulbasaur,-0.9506262218221118,-0.9249061830568897,-0.7971536449711327,-0.23913030200278262,-0.2481885446599603,-0.8015031798028882,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Ivysaur,-0.3628220964103872,-0.5241302027314176,-0.34791741554189426,0.21955953559846322,0.29115635499949677,-0.2850152538210035,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Venusaur,0.42091673747191216,0.09244822853853919,0.2938486264998751,0.8311459857334578,1.0102828878787729,0.4036353141548428,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
VenusaurMega Venusaur,0.42091673747191216,0.6473688166815004,1.5773807105834137,1.5038910808819517,1.729409420758049,0.4036353141548428,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Charmander,-1.1857478719868015,-0.8324194183663961,-0.9896834575836636,-0.39202691453653127,-0.7875334443194173,-0.11285261182704193,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Charmeleon,-0.4411959797986172,-0.462472359604422,-0.5083589260523366,0.21955953559846322,-0.2481885446599603,0.4036353141548428,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Charizard,0.34254285408368224,0.1541060716655349,0.13340711598943278,1.1063598882942052,0.4709379882193158,1.0922858821306891,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0,0,0,0,0
CharizardMega Charizard X,0.34254285408368224,1.5722364635864357,1.1923210853583521,1.7485256609359494,0.4709379882193158,1.0922858821306891,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,0,0,0,0,0
CharizardMega Charizard Y,0.34254285408368224,0.7706845029354917,0.13340711598943278,2.6353260136316914,1.5496277875382298,1.0922858821306891,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0,0,0,0,0
Squirtle,-0.9898131635162267,-0.9557351046203875,-0.2837408113377173,-0.6978201396040286,-0.2841448713039241,-0.8703682366004729,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Wartortle,-0.40200903810450217,-0.4933012811679198,0.1975837201936097,-0.23913030200278262,0.29115635499949677,-0.35388031061858816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Blastoise,0.3817297957777972,0.12327715010203703,0.839349762235379,0.37245614813221184,1.1900645210985918,0.3347702573572582,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
BlastoiseMega Blastoise,0.3817297957777972,0.7398555813719939,1.4811158042771484,1.9014222734696982,1.5496277875382298,0.3347702573572582,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Caterpie,-0.9506262218221118,-1.5106556927633488,-1.2463898744003714,-1.6151998148065203,-1.8662232436383315,-0.8015031798028882,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Metapod,-0.754691513351537,-1.8189449083983271,-0.604623832358602,-1.4623032022727716,-1.6864416104185125,-1.3179911057847729,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Butterfree,-0.3628220964103872,-1.0482218693108811,-0.7650653428690443,0.5253527606659605,0.29115635499949677,0.059310030166919644,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0,0,0,0,0
